x, y, v, 
0, 0, 0, 
1, 0, 0, 
2, 0, 0, 
3, 0, 0, 
4, 0, 0, 
5, 0, 0, 
6, 0, 0, 
7, 0, 0, 
8, 0, 0, 
9, 0, 0, 
0, 1, 0, 
1, 1, 1.3623330593109, 
2, 1, 0.77392429113388, 
3, 1, 0.77133923768997, 
4, 1, 0.84927833080292, 
5, 1, 1.2326707839966, 
6, 1, 1.1353352069855, 
7, 1, 1.1580182313919, 
8, 1, 0.79711693525314, 
9, 1, 0.4080582857132, 
0, 2, 0.30637723207474, 
1, 2, 0.77153670787811, 
2, 2, 0.60917603969574, 
3, 2, 0.87226963043213, 
4, 2, 0.78708010911942, 
5, 2, 1.0320370197296, 
6, 2, 0.78323709964752, 
7, 2, 0.90603679418564, 
8, 2, 0.81998205184937, 
9, 2, 0.66010725498199, 
0, 3, 0.41251280903816, 
1, 3, 0.95243918895721, 
2, 3, 0.85865163803101, 
3, 3, 1.1076104640961, 
4, 3, 1.3038440942764, 
5, 3, 1.2896641492844, 
6, 3, 0.82641208171844, 
7, 3, 1.167852640152, 
8, 3, 1.0888775587082, 
9, 3, 1.1674782037735, 
0, 4, 0.82642889022827, 
1, 4, 0.9864057302475, 
2, 4, 1.1210027933121, 
3, 4, 1.3162415027618, 
4, 4, 1.5339710712433, 
5, 4, 1.3978695869446, 
6, 4, 1.5461595058441, 
7, 4, 1.2965698242188, 
8, 4, 1.185337305069, 
9, 4, 0.98128318786621, 
0, 5, 0.70442098379135, 
1, 5, 1.2102248668671, 
2, 5, 1.1369174718857, 
3, 5, 0.82232290506363, 
4, 5, 1.1339049339294, 
5, 5, 1.6154986619949, 
6, 5, 1.7146953344345, 
7, 5, 1.78366792202, 
8, 5, 1.4483910799026, 
9, 5, 1.0900832414627, 
0, 6, 1.0728746652603, 
1, 6, 1.4604135751724, 
2, 6, 1.0519843101501, 
3, 6, 1.1932319402695, 
4, 6, 1.6960037946701, 
5, 6, 1.8826788663864, 
6, 6, 2.1005365848541, 
7, 6, 1.4844653606415, 
8, 6, 1.5414412021637, 
9, 6, 2.0026919841766, 
0, 7, 1.9630402326584, 
1, 7, 1.8443155288696, 
2, 7, 1.4139782190323, 
3, 7, 1.5333379507065, 
4, 7, 1.6307793855667, 
5, 7, 1.6547772884369, 
6, 7, 1.5068994760513, 
7, 7, 2.8454370498657, 
8, 7, 1.971560716629, 
9, 7, 1.8608952760696, 
0, 8, 1.574484705925, 
1, 8, 0.98180675506592, 
2, 8, 0.89694601297379, 
3, 8, 1.3002685308456, 
4, 8, 1.2560296058655, 
5, 8, 1.3171865940094, 
6, 8, 1.6253552436829, 
7, 8, 1.6317049264908, 
8, 8, 1.4025716781616, 
9, 8, 0.62319785356522, 
0, 9, 0.69246536493301, 
1, 9, 0.20798586308956, 
2, 9, 0.13733138144016, 
3, 9, 0.26149728894234, 
4, 9, 0.049714833498001, 
5, 9, 0.0058573479764163, 
6, 9, 0.011939570307732, 
7, 9, 0.024951407685876, 
8, 9, 0.0048738531768322, 
9, 9, 0, 
